id_gurney: gur001, occupied: True, id_patient: 123
id_gurney: gur0150, occupied: False, id_patient: none
id_gurney: gur0151, occupied: False, id_patient: none
id_gurney: gur0152, occupied: False, id_patient: none
id_gurney: gur0153, occupied: False, id_patient: none
id_gurney: gur0154, occupied: False, id_patient: none
id_gurney: gur0155, occupied: False, id_patient: none
id_gurney: gur0156, occupied: False, id_patient: none
id_gurney: gur0157, occupied: False, id_patient: none
id_gurney: gur0158, occupied: False, id_patient: none
id_gurney: gur0159, occupied: False, id_patient: none
id_gurney: gur0160, occupied: False, id_patient: none
id_gurney: gur0161, occupied: False, id_patient: none
id_gurney: gur0162, occupied: False, id_patient: none
id_gurney: gur0163, occupied: False, id_patient: none
id_gurney: gur0164, occupied: False, id_patient: none
id_gurney: gur0165, occupied: False, id_patient: none
id_gurney: gur0166, occupied: False, id_patient: none
id_gurney: gur0167, occupied: False, id_patient: none
id_gurney: gur0168, occupied: False, id_patient: none
id_gurney: gur0169, occupied: False, id_patient: none
id_gurney: gur0170, occupied: False, id_patient: none
id_gurney: gur0171, occupied: False, id_patient: none
id_gurney: gur0172, occupied: False, id_patient: none
id_gurney: gur0173, occupied: False, id_patient: none
id_gurney: gur0174, occupied: False, id_patient: none
id_gurney: gur0175, occupied: False, id_patient: none
id_gurney: gur0176, occupied: False, id_patient: none
id_gurney: gur0177, occupied: False, id_patient: none
id_gurney: gur0178, occupied: False, id_patient: none
id_gurney: gur0179, occupied: False, id_patient: none
id_gurney: gur0180, occupied: False, id_patient: none
id_gurney: gur0181, occupied: False, id_patient: none
id_gurney: gur0182, occupied: False, id_patient: none
id_gurney: gur0183, occupied: False, id_patient: none
id_gurney: gur0184, occupied: False, id_patient: none
id_gurney: gur0185, occupied: False, id_patient: none
id_gurney: gur0186, occupied: False, id_patient: none
id_gurney: gur0187, occupied: False, id_patient: none
id_gurney: gur0188, occupied: False, id_patient: none
id_gurney: gur0189, occupied: False, id_patient: none
id_gurney: gur0190, occupied: False, id_patient: none
id_gurney: gur0191, occupied: False, id_patient: none
id_gurney: gur0192, occupied: False, id_patient: none
id_gurney: gur0193, occupied: False, id_patient: none
id_gurney: gur0194, occupied: False, id_patient: none
id_gurney: gur0195, occupied: False, id_patient: none
id_gurney: gur0196, occupied: False, id_patient: none
id_gurney: gur0197, occupied: False, id_patient: none
id_gurney: gur0198, occupied: False, id_patient: none
id_gurney: gur0199, occupied: False, id_patient: none
id_gurney: gur0200, occupied: False, id_patient: none
id_gurney: gur0201, occupied: False, id_patient: none
id_gurney: gur0202, occupied: False, id_patient: none
id_gurney: gur0203, occupied: False, id_patient: none
id_gurney: gur0204, occupied: False, id_patient: none
id_gurney: gur0205, occupied: False, id_patient: none
id_gurney: gur0206, occupied: False, id_patient: none
id_gurney: gur0207, occupied: False, id_patient: none
id_gurney: gur0208, occupied: False, id_patient: none
id_gurney: gur0209, occupied: False, id_patient: none
id_gurney: gur0210, occupied: False, id_patient: none
id_gurney: gur0211, occupied: False, id_patient: none
id_gurney: gur0212, occupied: False, id_patient: none
id_gurney: gur0213, occupied: False, id_patient: none
id_gurney: gur0214, occupied: False, id_patient: none
id_gurney: gur0215, occupied: False, id_patient: none
id_gurney: gur0216, occupied: False, id_patient: none
id_gurney: gur0217, occupied: False, id_patient: none
id_gurney: gur0218, occupied: False, id_patient: none
id_gurney: gur0219, occupied: False, id_patient: none
id_gurney: gur0220, occupied: False, id_patient: none
id_gurney: gur0221, occupied: False, id_patient: none
id_gurney: gur0222, occupied: False, id_patient: none
id_gurney: gur0223, occupied: False, id_patient: none
id_gurney: gur0224, occupied: False, id_patient: none
id_gurney: gur0225, occupied: False, id_patient: none
id_gurney: gur0226, occupied: False, id_patient: none
id_gurney: gur0227, occupied: False, id_patient: none
id_gurney: gur0228, occupied: False, id_patient: none
id_gurney: gur0229, occupied: False, id_patient: none
id_gurney: gur0230, occupied: False, id_patient: none
id_gurney: gur0231, occupied: False, id_patient: none
id_gurney: gur0232, occupied: False, id_patient: none
id_gurney: gur0233, occupied: False, id_patient: none
id_gurney: gur0234, occupied: False, id_patient: none
id_gurney: gur0235, occupied: False, id_patient: none
id_gurney: gur0236, occupied: False, id_patient: none
id_gurney: gur0237, occupied: False, id_patient: none
id_gurney: gur0238, occupied: False, id_patient: none
id_gurney: gur0239, occupied: False, id_patient: none
id_gurney: gur0240, occupied: False, id_patient: none
id_gurney: gur0241, occupied: False, id_patient: none
id_gurney: gur0242, occupied: False, id_patient: none
id_gurney: gur0243, occupied: False, id_patient: none
id_gurney: gur0244, occupied: False, id_patient: none
id_gurney: gur0245, occupied: False, id_patient: none
id_gurney: gur0246, occupied: False, id_patient: none
id_gurney: gur0247, occupied: False, id_patient: none
id_gurney: gur0248, occupied: False, id_patient: none
id_gurney: gur0249, occupied: False, id_patient: none
id_gurney: gur0250, occupied: False, id_patient: none
id_gurney: gur0251, occupied: False, id_patient: none
id_gurney: gur0252, occupied: False, id_patient: none
id_gurney: gur0253, occupied: False, id_patient: none
id_gurney: gur0254, occupied: False, id_patient: none
id_gurney: gur0255, occupied: False, id_patient: none
id_gurney: gur0256, occupied: False, id_patient: none
id_gurney: gur0257, occupied: False, id_patient: none
id_gurney: gur0258, occupied: False, id_patient: none
id_gurney: gur0259, occupied: False, id_patient: none
id_gurney: gur0260, occupied: False, id_patient: none
id_gurney: gur0261, occupied: False, id_patient: none
id_gurney: gur0262, occupied: False, id_patient: none
id_gurney: gur0263, occupied: False, id_patient: none
id_gurney: gur0264, occupied: False, id_patient: none
id_gurney: gur0265, occupied: False, id_patient: none
id_gurney: gur0266, occupied: False, id_patient: none
id_gurney: gur0267, occupied: False, id_patient: none
id_gurney: gur0268, occupied: False, id_patient: none
id_gurney: gur0269, occupied: False, id_patient: none
id_gurney: gur0270, occupied: False, id_patient: none
id_gurney: gur0271, occupied: False, id_patient: none
id_gurney: gur0272, occupied: False, id_patient: none
id_gurney: gur0273, occupied: False, id_patient: none
id_gurney: gur0274, occupied: False, id_patient: none
id_gurney: gur0275, occupied: False, id_patient: none
id_gurney: gur0276, occupied: False, id_patient: none
id_gurney: gur0277, occupied: False, id_patient: none
id_gurney: gur0278, occupied: False, id_patient: none
id_gurney: gur0279, occupied: False, id_patient: none
id_gurney: gur0280, occupied: False, id_patient: none
id_gurney: gur0281, occupied: False, id_patient: none
id_gurney: gur0282, occupied: False, id_patient: none
id_gurney: gur0283, occupied: False, id_patient: none
id_gurney: gur0284, occupied: False, id_patient: none
id_gurney: gur0285, occupied: False, id_patient: none
id_gurney: gur0286, occupied: False, id_patient: none
id_gurney: gur0287, occupied: False, id_patient: none
id_gurney: gur0288, occupied: False, id_patient: none
id_gurney: gur0289, occupied: False, id_patient: none
id_gurney: gur0290, occupied: False, id_patient: none
id_gurney: gur0291, occupied: False, id_patient: none
id_gurney: gur0292, occupied: False, id_patient: none
id_gurney: gur0293, occupied: False, id_patient: none
id_gurney: gur0294, occupied: False, id_patient: none
id_gurney: gur0295, occupied: False, id_patient: none
id_gurney: gur0296, occupied: False, id_patient: none
id_gurney: gur0297, occupied: False, id_patient: none
id_gurney: gur0298, occupied: False, id_patient: none
id_gurney: gur0299, occupied: False, id_patient: none
id_gurney: gur0300, occupied: False, id_patient: none
